"baseMean"	"log2FoldChange"	"lfcSE"	"fc"	"stat"	"pvalue"	"padj"
"chr1:4785484-4785645"	201.68008119156	-0.0129054906068231	0.201567031713483	0.991094486666387	-0.0641413202554895	0.948857700759193	0.999988355604711
"chr1:4807593-4808198"	379.935225821847	0.023610309527971	0.195897651129479	1.01650006647422	0.120634864617746	0.903980252524575	0.999988355604711
"chr1:4857257-4858279"	489.561240027731	0.0717066322613011	0.190421625684526	1.05095917793968	0.376583716643777	0.706482990626802	0.999988355604711
"chr1:5018842-5019750"	31.295078004954	-0.135276379072796	0.164176187388114	0.910495392029257	-0.834927342260209	0.403758618867849	0.999988355604711
"chr1:5083101-5083471"	302.884964673212	-0.291533242617865	0.196704595754691	0.817033284409987	-1.48296988369022	0.138082412465256	0.999988355604711
"chr1:6214145-6215049"	488.887271237764	0.0900443879747053	0.197202541168774	1.06440293085979	0.456002776097847	0.648387981933741	0.999988355604711
"chr1:6311527-6312191"	23.4215022290757	-0.0648052459171698	0.135046577312227	0.956074372463265	-0.471647718190408	0.63717826048016	0.999988355604711
"chr1:6358772-6360167"	90.579683684273	0.142669204949076	0.199070816468752	1.103945694812	0.718199281157372	0.4726344211295	0.999988355604711
"chr1:6430206-6430440"	15.2545755956	0.22206275146065	0.106438511818225	1.16640010242168	2.98003522510945	0.00288215238678889	0.999988355604711
"chr1:7088150-7089525"	265.577415533442	0.0433327911923551	0.201282270968936	1.03049163308748	0.214422317038591	0.830217739875285	0.999988355604711
"chr1:7397467-7398689"	54.8074363915687	-0.0124701258166891	0.188367543834879	0.991393616241887	-0.0661589881090507	0.947251247950924	0.999988355604711
"chr1:8594857-8596116"	143.191483850936	-0.220614981274167	0.200892572155741	0.858199531564736	-1.0942653460055	0.273838619221269	0.999988355604711
"chr1:9545312-9546329"	873.661252055971	0.267450523384601	0.201560756509161	1.20367885095985	1.33166533304512	0.182970185769784	0.999988355604711
"chr1:9700175-9701119"	262.643618692167	-0.0246788663908369	0.19948496922498	0.983039391738993	-0.123564077273523	0.901660436637468	0.999988355604711
"chr1:9747530-9749072"	327.741413685245	0.311340010209671	0.200316032328849	1.2408597054966	1.55766133732849	0.119313550160937	0.999988355604711
"chr1:9773066-9774323"	41.6235125426241	-0.364851410394586	0.172715922114249	0.776548851116705	-2.1679277192438	0.0301641864546364	0.999988355604711
"chr1:9797837-9798522"	117.504403459887	-0.197768870059882	0.201415669249555	0.871897912555176	-0.982181149422486	0.326010612623769	0.999988355604711
"chr1:9943611-9944462"	816.228867961884	-0.125448011958602	0.186122575941775	0.916719322606497	-0.674149608623064	0.50021620284233	0.999988355604711
"chr1:10232267-10233344"	733.063399047172	0.145125496864016	0.200937451926306	1.10582684257797	0.723359505057162	0.469459043329195	0.999988355604711
"chr1:10993489-10993894"	43.2319545241417	0.166034881714581	0.175897649182969	1.12197060738978	0.944217297636178	0.3450586176487	0.999988355604711
"chr1:12644751-12644838"	45.6821831357833	-0.280222473350219	0.1427517408628	0.82346402374439	-2.14603072314569	0.0318705276028523	0.999988355604711
"chr1:12692479-12692644"	16.406094759921	-0.0341638245236645	0.137046932644343	0.976597625603954	-0.252343539059602	0.800775537431316	0.999988355604711
"chr1:12992510-12992685"	29.0182878911042	0.0428974422382576	0.162107822303199	1.03018071791812	0.267969924788237	0.788722468900071	0.999988355604711
"chr1:13040818-13041137"	8.86913416515056	-0.067626460102475	0.106783473835354	0.95420657994624	-0.632180160428631	0.527269159753269	0.999988355604711
"chr1:13051652-13051906"	6.20452226924411	0.0105944852075263	0.0966666336475957	1.00737056744747	0.109552345985454	0.912764405478859	0.999988355604711
"chr1:13660130-13660725"	296.676843625428	0.0505874670906194	0.198425693965346	1.03568657075845	0.255296153283751	0.798494370769305	0.999988355604711
"chr1:14080840-14081002"	2.09997140936686	0.0272619835557029	0.0569953514022989	1.01907623709239	0.482218985139002	0.629650391523968	0.999988355604711
"chr1:14309630-14310128"	243.754565224729	0.0247335563920641	0.201500339106543	1.01729179658774	0.122438764095959	0.902551540132352	0.999988355604711
"chr1:14484263-14484559"	7.87869581360964	0.0518949540344973	0.10181116408914	1.03662561916082	0.50444893685948	0.613945936589724	0.999988355604711
"chr1:14839602-14840169"	17.7224439407401	0.177978130118238	0.133016830638563	1.1312973133269	1.40429342384891	0.160231491725131	0.999988355604711
"chr1:15268893-15269292"	16.690451762816	0.192012454661553	0.127689452063704	1.1423561086675	1.61613418583371	0.106065304434677	0.999988355604711
"chr1:15786021-15786099"	3.88567948871606	-0.0186807945223945	0.0614857903721685	0.987134931623737	-0.325803549240228	0.744572993226367	0.999988355604711
"chr1:16104407-16106046"	739.778067151374	0.0228560142693777	0.18833698121554	1.01596874089734	0.121422510869658	0.903356387698249	0.999988355604711
"chr1:16204954-16206489"	164.531760278145	0.102339584607802	0.196890085136472	1.07351294240214	0.516702847111615	0.605363608280856	0.999988355604711
"chr1:16518925-16519992"	170.466677167874	-0.131998526364356	0.201978636251697	0.912566420680654	-0.655011517106358	0.512460338904698	0.999988355604711
"chr1:16618695-16619621"	412.971507713287	0.189300603058278	0.199696958964145	1.14021082473711	0.950030764447881	0.342096620872193	0.999988355604711
"chr1:16660820-16662133"	70.594962077575	0.00836905385702706	0.167115433737038	1.00581784438723	0.0494079440107426	0.960594197490539	0.999988355604711
"chr1:16790887-16791488"	6.83059435051489	0.156905697082366	0.0941573270573659	1.11489334044909	2.10032114881192	0.0357006000910566	0.999988355604711
"chr1:17097407-17098070"	275.995303905019	0.126337188506145	0.201930231300852	1.09151895843365	0.627875981238915	0.530085186544305	0.999988355604711
"chr1:18877776-18878006"	0.741580284365223	-0.0179158397659984	0.0335171702211792	0.987658475245667	-0.576133290386035	0.564525091305869	0.999988355604711
"chr1:19153425-19153744"	12.1106432579993	0.0676320417326443	0.122018514612856	1.04799515106576	0.554485200219558	0.579246831501016	0.999988355604711
"chr1:19973493-19974402"	10.3287130797952	0.0209061340957293	0.111983643234527	1.01459653185395	0.182281034680844	0.855362181477546	0.999988355604711
"chr1:20393689-20394028"	1.51448437410442	-0.0164380949512152	0.0484337384169332	0.988670646832294	-0.41023635981283	0.681632571056972	0.999988355604711
"chr1:20678173-20679563"	87.9143734485804	0.0382056508911857	0.197885358177157	1.02683590698372	0.192402135862281	0.847427219481842	0.999988355604711
"chr1:20819920-20820192"	130.312083401369	-0.142881198414242	0.201212303570191	0.905708562315774	-0.713323871482822	0.475645369143552	0.999988355604711
"chr1:20848411-20848683"	5.38329974196052	-0.0808864028391562	0.0828112707197683	0.945476560220432	-1.06716385301945	0.285897852113036	0.999988355604711
"chr1:20849027-20849213"	3.53569888755262	0.0479430121620256	0.0730719472850925	1.03378989974876	0.733885669972138	0.463018421464382	0.999988355604711
